"species","total.count","cells.per.ml","fil.av","fil.sd","sp.proportions","biovolume.um3.av","biovolume.um3.sd"
"a",14,7000,2.8,1.78885438199983,42.4242424242424,1357.25227932461,720.968779630497
"m",19,9500,1.05555555555556,0.235702260395516,57.5757575757576,1066.11869911483,479.893869695763
