"species","total.count","cells.per.ml","fil.av","fil.sd","sp.proportions","biovolume.um3.av","biovolume.um3.sd"
"m",25,12500,1.08695652173913,0.28810406552003,55.5555555555556,198.337997496182,107.029982391658
"a",20,10000,5,2.58198889747161,44.4444444444444,105.653410337678,91.1482928057734
