"s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max","blob","id","species","filament_length","biovolume_um3"
1332,152,12.4813322316213,3.87937935822756,6.11002423839477,18.6052660718823,1,"a2","a",2,2182.08479985759
590,158,11.8764421393511,6.32450245012917,2.05393000323716,21.5666010868063,NA,NA,NA,NA,NA
489,73,7.06468680988326,0.467271750635966,6.29776745580192,8.17274094887149,3,"m1","m",1,2036.67082549033
439,74,6.72883947996868,0.921654912050147,4.86146711567368,8.50960856561279,4,"m1","m",1,1263.64230355795
270,56,5.15507955441051,0.523749528742721,4.02332864662723,6.10185630878887,5,"m1","m",1,620.601561006634
602,91,7.93069460644512,1.55579066516385,4.59403258652566,10.6101976421387,NA,NA,NA,NA,NA
432,71,6.61911800888868,0.650506319359174,5.23358537627257,7.69541762307205,7,"m1","m",1,1324.3741290971
1251,133,11.5834221982687,1.56170961202642,9.24420217477819,15.0680260271208,NA,NA,NA,NA,NA
258,56,5.06402633946777,0.583726952862869,3.64869459501928,6.47181588266784,NA,NA,NA,NA,NA
1713,181,14.7867700685283,6.18227212091556,3.72658137518598,24.6074289386071,10,"a2","a",2,1073.58721387118
353,63,5.94225947895279,0.4285589609674,5.20444192492495,6.80713253432415,11,"m1","m",1,1158.49031692669
457,71,6.8917998183371,0.726903162635606,5.85398717545634,8.60448637249296,12,"m1","m",1,1852.71387006984
455,79,6.82761743368129,1.37734180693891,3.50381555800076,9.17777324654753,13,"m1","m",1,707.945238638207
3782,354,26.3959927174723,13.0748928805479,3.89634046218244,47.8423427091654,14,"a6","a",6,760.597428397346
1072,129,11.1065634950174,3.09603288792001,6.32430117569324,16.538457129656,15,"a2","a",2,2078.11679349771
2025,237,16.7124204686926,7.40807150639815,2.83450022320054,27.4109997416741,16,"a2","a",2,691.875160999218
409,70,6.44861551574833,0.684236113122712,5.1992975901667,7.73278205869967,NA,NA,NA,NA,NA
371,63,6.10721922182939,0.361767160543592,5.55152895687329,6.94678498639316,18,"m1","m",1,1345.20646005924
525,76,7.38651352813624,1.06796687651343,5.47123844781796,9.1832758939555,19,"m1","m",1,1727.22448418737
351,67,5.92202008042739,0.529212263001063,4.16633976224583,6.95382267787396,20,"m1","m",1,758.425361648008
277,58,5.28669313751965,0.744433736097066,4.06535607859287,6.55953791490037,21,"m1","m",1,681.161819156471
260,52,5.06675775048436,0.379987661688111,4.39007313872404,5.79821483425933,22,"m1","m",1,702.130247025048
291,56,5.38032931315959,0.40772407291776,4.70926920814952,6.21295781006637,23,"m1","m",1,865.735663787966
366,63,6.07709503138759,0.535830948952905,4.99061707605545,7.04935660678935,24,"m1","m",1,1103.15832238723
295,59,5.46582583138038,0.859412245596337,3.64390071535272,6.99876154594294,25,"m1","m",1,583.894165960173
529,90,7.65741873442833,2.34849281999097,3.51642490846464,11.1527439931826,26,"m2","m",2,433.245740259834
315,64,5.65577573546321,0.876220773295105,3.90712576688005,7.34541204596447,NA,NA,NA,NA,NA
1235,135,11.634062181311,2.38809284746765,7.40346556658191,15.5663413172771,NA,NA,NA,NA,NA
321,65,5.77123451054214,1.12833655136989,3.53776711427845,7.61430238342451,29,"m1","m",1,598.781631541642
319,63,5.70182572266423,1.03618761188614,3.65198745409381,7.39187445732908,NA,NA,NA,NA,NA
438,70,6.68037638319302,0.733743060169775,5.29876413409533,8.08749641937797,31,"m1","m",1,1426.73444326725
2292,732,53.7292098967027,30.7813943385893,1.25971208882496,105.82342149381,NA,NA,NA,NA,NA
