"s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max","blob","id","species","filament_length","biovolume_um3"
947,137,5.84212903955818,1.56072661068472,2.29360726164134,8.46425982374416,1,"m2","m",2,139.886875140276
294,59,3.20658028328447,0.406494161069473,2.50484934248265,4.0034012833781,2,"m1","m",1,157.823696815234
599,114,5.24754435457258,2.12336609055542,1.93941392013779,8.75030812502854,NA,NA,NA,NA,NA
246,55,2.92187228374047,0.522036136451483,2.02895698752363,3.64138883954489,4,"m1","m",1,94.187356058416
494,78,4.16647027220451,0.427269554559812,2.78309787033419,4.99130508069371,5,"m1","m",1,242.913103217207
389,64,3.68550993897719,0.277289058443319,3.10375515330489,4.22091439570653,6,"m1","m",1,255.48259571872
536,101,4.47254149118271,1.48755403685249,1.16507424530693,6.9025815562954,7,"m1","m",1,58.8706212773395
523,76,4.33895809395575,0.563481726374231,3.19339129578184,5.19048115139407,8,"m1","m",1,332.576655089377
252,51,2.95578991266738,0.347924624187207,2.31306247732415,3.55820929496527,9,"m1","m",1,119.61512135055
254,52,2.9558445831736,0.326093234658422,2.40221945783664,3.58384709738369,10,"m1","m",1,129.943542319749
191,45,2.53089337858939,0.17952511050396,2.22307347512476,2.91719396316933,NA,NA,NA,NA,NA
594,86,4.7722933713529,1.15039690364281,2.87274602429073,6.65267593720511,12,"m1","m",1,344.961558829908
415,74,3.83722305234669,0.764727287853509,1.97881915523381,5.04586161480134,13,"m1","m",1,124.14448049682
361,69,3.52513065510024,0.415002391632776,2.27488749854825,4.21331310924785,14,"m1","m",1,137.000909763189
869,110,5.58904638028581,1.40493234176406,2.4411185011724,7.25555085234835,15,"m2","m",2,135.830715217605
167,43,2.35664268399831,0.179400770679667,2.02442293801723,2.75043633390402,NA,NA,NA,NA,NA
166,42,2.34820051850182,0.180120025939183,1.97865126639894,2.69900267768679,17,"m1","m",1,66.392909130263
4451,547,23.1245495709561,12.7662275790965,0.432884274252702,43.9158027916854,18,"a8","a",8,6.46330016690204
1959,186,8.99826948109042,3.68884735391358,2.22899277360033,14.2639671498192,19,"a2","a",2,222.642219952308
451,90,4.23814392848017,1.49648170066359,1.9833456371462,6.4667618463508,NA,NA,NA,NA,NA
185,44,2.48986607126121,0.15314644090913,2.13118783432029,2.75591834949574,21,"m1","m",1,78.6483600952659
528,74,4.34787163458217,0.367422269653686,3.78659212914396,5.13513036635585,22,"m1","m",1,462.624253793081
861,169,7.5188780924999,3.36233575376356,2.04139578144289,13.2077678971418,NA,NA,NA,NA,NA
1216,174,6.15649460114225,2.15410285954539,0.475318831703221,9.66811711046838,NA,NA,NA,NA,NA
786,118,6.13022879281532,2.50297207995567,2.29437461860415,9.96581314579898,NA,NA,NA,NA,NA
706,126,5.83062077346035,2.57586509313464,1.88193623473181,9.96967377172989,NA,NA,NA,NA,NA
367,62,3.57690599724593,0.281236577664313,3.01807201166113,4.14545112739096,27,"m1","m",1,237.252536139058
2776,312,11.2971840757999,5.43472936531555,1.81305530331281,20.8721298763879,28,"a6","a",6,71.8484642312444
349,64,3.47821430564112,0.284133084658863,2.65010401230336,4.02831518820568,29,"m1","m",1,177.757998420629
476,76,4.12153075348823,0.580990240154631,3.09288373936083,4.96824557418584,30,"m1","m",1,298.613964440891
177,43,2.4288746924534,0.156218120589167,2.19256604051516,2.7385921366172,NA,NA,NA,NA,NA
231,49,2.7980908287449,0.208256476659679,2.42218650416093,3.20089019388385,NA,NA,NA,NA,NA
360,65,3.5305705548491,0.355525988753451,2.45175200258108,4.22423154835371,33,"m1","m",1,159.544068053777
166,45,2.35427936019053,0.271583547641267,1.86274410612069,2.83235418579839,NA,NA,NA,NA,NA
2373,291,11.9538619071721,5.79835564225981,1.88132712311808,21.8825574403242,35,"a4","a",4,121.659657000259
424,68,3.86438244779029,0.336400128411095,3.2045768759066,4.40260227448956,36,"m1","m",1,284.073492714824
355,64,3.52435823614112,0.373861061679885,2.51303952134345,4.25060601474527,37,"m1","m",1,168.666703884305
501,79,4.2338474733968,0.500683016462848,3.32668868397991,5.10479365541,38,"m1","m",1,354.962424445711
168,58,2.6862593408023,1.09319213803804,1.05238106060523,4.11240980069367,NA,NA,NA,NA,NA
